NodeID:0	0.739852,0.739855,1,15,66,96
NodeID:10	0.890458,0.890460,4,6,38,67,78,80
NodeID:11	0.648539,0.648539,6,28,40,49,51,67,89
NodeID:1	1.226963,1.226966,37,72
NodeID:12	0.996501,0.996503,24,28,50,55,67,85,98
NodeID:13	0.906575,0.906577,25,32,33,35,76
NodeID:14	0.329967,0.329968,36,39,44,62,98
NodeID:15	1.210432,1.210435,47,70,79,95,97
NodeID:16	0.624047,0.624048,45,52,67,80
NodeID:17	0.552049,0.552050,18,39,41,53,63,72,79,99
NodeID:18	1.040373,1.040375,52,61,62,87
NodeID:19	0.882400,0.882402,27,33,37,45,92
NodeID:20	1.149138,1.149140,7,94
NodeID:2	1.014372,1.014374,31,63
NodeID:21	2.218512,2.218515
NodeID:22	1.045265,1.045268,25,65,72,83,97
NodeID:23	0.569845,0.569846,92,99
NodeID:24	1.018340,1.018341,9,10,18,38,55,93,94
NodeID:25	0.813053,0.813054,63
NodeID:26	0.834126,0.834128,15,23,28,64
NodeID:27	1.331230,1.331233,32,68,70,92
NodeID:28	0.877168,0.877170,21,25,72
NodeID:29	0.863576,0.863578,18,23,31,36,86
NodeID:30	0.868672,0.868675,80,84,95
NodeID:3	0.742654,0.742656,30,42,45,86
NodeID:31	2.135756,2.135761,29,36,46,49,54,62,70,85
NodeID:32	0.976996,0.977001,2,3,6,27,47,69,71,91
NodeID:33	0.995215,0.995217,2,56,58,86
NodeID:34	0.967099,0.967101,0,7,77,78
NodeID:35	0.496875,0.496877,12,18,62,64,65,66,83,91
NodeID:36	0.769156,0.769159,12,20,30,34,61,75,77,99
NodeID:37	1.313977,1.313982,40,59,71,97
NodeID:38	1.161347,1.161349,30,41,98
NodeID:39	1.151917,1.151920,31,43,68,71,92
NodeID:40	0.727697,0.727702,7,71,72,73
NodeID:4	0.741337,0.741338,24,42,46,86
NodeID:41	0.946179,0.946183,44,45,49,66
NodeID:42	0.572390,0.572391,36,45,70,89,99
NodeID:43	0.918550,0.918553,4,21,24,56,67,68,80,86,90
NodeID:44	0.627786,0.627788,17,37,38
NodeID:45	1.440432,1.440437,18,53,58,83,86,90
NodeID:46	0.817362,0.817364,78
NodeID:47	0.511170,0.511171,5,14,52,70,73
NodeID:48	0.150000,0.150000,18,39,61,79,89
NodeID:49	1.142210,1.142213,2,29,31,39,84
NodeID:50	0.827583,0.827586,0,20,46,68
NodeID:5	0.480599,0.480601,2,9,24,50,61,81,98
NodeID:51	0.924710,0.924714,38,45,61,71
NodeID:52	0.842175,0.842178,27,31,64,91
NodeID:53	0.601569,0.601570,2,13,65,78,95
NodeID:54	0.681401,0.681403,12,69,77
NodeID:55	0.681116,0.681118,10,19,22,25,51,58,62
NodeID:56	0.541303,0.541305,29,36,80,96,98
NodeID:57	0.816731,0.816732,86,94,96,98
NodeID:58	0.865494,0.865498,16,38,71,73,78
NodeID:59	0.502481,0.502483,10,24,69,92
NodeID:60	0.547458,0.547459,14,49,53,56,65
NodeID:6	0.691577,0.691577,15,22,58,80
NodeID:61	0.733164,0.733165,6,9,18,20,99
NodeID:62	1.016832,1.016834,11,22,33,91
NodeID:63	1.723599,1.723603,3,64,65,72
NodeID:64	1.009493,1.009496,3,27,28,31,33,39,78
NodeID:65	0.988283,0.988285,27,88
NodeID:66	1.010579,1.010581,8,19,72,81,83,98
NodeID:67	0.695266,0.695268,2,26,30,31,32,45
NodeID:68	0.891327,0.891331,1,6,19,28,40,81,85
NodeID:69	0.881507,0.881510,12,22,42,46,55,72,88
NodeID:70	1.204051,1.204056,20,63,99
NodeID:7	0.998529,0.998533,12,21,38,57,93
NodeID:71	1.509588,1.509592,15,16,45,84,97
NodeID:72	1.927451,1.927458,10,49,51,92,93,95
NodeID:73	0.538670,0.538672,41,50,51,84,92
NodeID:74	0.432267,0.432268,35,54,84
NodeID:75	0.434747,0.434748,29,34,37,51,54,65,85,91
NodeID:76	0.893516,0.893519,9
NodeID:77	0.630296,0.630298,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeID:78	1.631543,1.631547,13,19,34,82
NodeID:79	0.983938,0.983940,0,26,43,74,90
NodeID:80	1.183046,1.183051,31,79
NodeID:8	0.344755,0.344756,13,41,59,87
NodeID:81	0.586889,0.586890,5,21,26,78,93,96
NodeID:82	0.676119,0.676121,2,23,24,32,52,53
NodeID:83	1.270376,1.270382,1,4,10,18,27,29,70
NodeID:84	1.060981,1.060985,9,21
NodeID:85	0.693566,0.693567,32,54,57,64,69,90,99
NodeID:86	1.329222,1.329227,11,60,71,95
NodeID:87	0.485552,0.485554,8,19,20,27,30,47,54,63
NodeID:88	1.266460,1.266464,21,26,44,50,55,82
NodeID:89	0.578788,0.578791,16,32,35,38,40,57,58
NodeID:90	0.916478,0.916482,1,26,52,93,96
NodeID:91	0.747832,0.747833,12,24,66,81,95
NodeID:9	1.667062,1.667066,33,39,41,43,51,69,80
NodeID:92	1.611660,1.611666,22,34,39,57
NodeID:93	0.955407,0.955410,15,43,66,75
NodeID:94	1.054941,1.054945,4,17,20,90
NodeID:95	1.386815,1.386819,76,88
NodeID:96	0.811741,0.811744,12,13,24,31,60,74
NodeID:97	1.069321,1.069324,37,50,62,89
NodeID:98	1.123249,1.123253,5,13,15,28,49,66,92,94
NodeID:99	1.179875,1.179878,1,83
